"$K$-Monographs in Mathematics","$K$-Monogr. Math."
"Advances in Parallel Computing","Adv. Parallel Comput."
"Advances in Partial Differential Equations","Adv. Partial Differential Equations"
"Advanced Modeling and Simulation in Engineering Sciences","Adv. Model. Simul. Eng. Sci."
"Advanced Quantitative Techniques in the Social Sciences","Adv. Quant. Tech. Soc. Sci."
"Advanced Series in Dynamical Systems","Adv. Ser. Dynam. Systems"
"Advanced Series in Electrical and Computer Engineering","Adv. Ser. Electr. Comput. Eng."
"Advanced Series in Mathematical Physics","Adv. Ser. Math. Phys."
"Advanced Series in Mathematical Science and Engineering","Adv. Ser. Math. Sci. Eng."
"Advanced Series in Neuroscience","Adv. Ser. Neurosci."
"Advanced Series in Nonlinear Dynamics","Adv. Ser. Nonlinear Dynam."
"Advanced Series on Statistical Science & Applied Probability","Adv. Ser. Stat. Sci. Appl. Probab."
"Advanced Series on Theoretical Physical Science","Adv. Ser. Theoret. Phys. Sci."
"Advances in Spatial Science","Adv. Spat. Sci."
"Advanced Studies in Pure Mathematics","Adv. Stud. Pure Math."
"Advanced Texts in Econometrics","Adv. Texts Econometrics"
"Advances in Theoretical and Mathematical Physics","Adv. Theor. Math. Phys."
"Advanced Topics in Mathematics","Adv. Top. Math."
"Advances in Applied Mathematics","Adv. Appl. Math."
"Advances in Applied Probability","Adv. Appl. Probab."
"Advances in Mathematics (China)","Adv. Math. (China)"
"Aequationes Mathematicae","Aequationes Math."
"Aerospace Science and Technology","Aerosp. Sci. Technol."
"Afrika Matematika","Afrika Mat. (3)"
"Agrégation de Mathématiques","Agrég. Math."
"Akademiya Nauk Armenii","Akad. Nauk Armenii Dokl."
"Akademiya Nauk Respubliki Kazakhstan","Akad. Nauk Respub. Kazakhstan Trudy Astrofiz. Inst."
"Akademija Nauka i Umjetnosti Bosne i Hercegovine","Akad. Nauka Umjet. Bosne Hercegov. Rad. Odjelj. Prirod. Mat. Nauka"
"Akademija Nauka i Umjetnosti Bosne i Hercegovine","Akad. Nauka Umjet. Bosne Hercegov. Rad. Odjelj. Tehn. Nauka"
"Albion Mathematics & Applications Series","Albion Math. Appl. Ser."
"Algebra Berichte","Algebra Ber."
"Algebra Colloquium","Algebra Colloq."
"Algebra, Logic and Applications","Algebra Logic Appl."
"Algebra Universalis","Algebra Universalis"
"Algebra and Logic","Algebra and Logic"
"Rossíiskaya Akademiya Nauk","Algebra i Analiz"
"Algebras, Groups and Geometries","Algebras Groups Geom."
"Algorithmica","Algorithmica"
"Algorithms and Combinatorics","Algorithms Combin."
"Algorithms and Computation in Mathematics","Algorithms Comput. Math."
"The Aligarh Journal of Statistics","Aligarh J. Statist."
"Alkalmazott Matematikai Lapok","Alkalmaz. Mat. Lapok"
"American University Studies","Am. Univ. Stud. Ser. IX Hist."
"American Journal of Mathematics","Amer. J. Math."
